2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4571.709005762605
2024-07-21 11:58:01, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:01, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:01, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:01, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:01, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
2024-07-21 11:58:02, T: 246.871733709613, Q: 4563.779313919586
